gid,handle,id,remote,type,variants,vendor
gid://shopify/Product/8392422752553,trojan-ecstasy-3-condoms,8392422752553,False,contraception-sexual-pleasure,"[{'id': 45447605289257, 'price': 995000, 'name': 'Trojan Ecstasy 3 Condoms', 'public_title': None, 'sku': 'mega1737'}]",Trojan
gid://shopify/Product/8392422555945,fiesta-classic-3-condoms,8392422555945,False,contraception-sexual-pleasure,"[{'id': 45447604797737, 'price': 48000, 'name': 'Fiesta Classic 3 Condoms', 'public_title': None, 'sku': 'mega1727'}]",Fiesta
gid://shopify/Product/8392422457641,durex-condom-performa-x3,8392422457641,False,contraception-sexual-pleasure,"[{'id': 45447604699433, 'price': 650000, 'name': 'Durex Condom Performa x3', 'public_title': None, 'sku': 'spar9681'}]",Durex
gid://shopify/Product/8392420655401,durex-play-tingling-100-ml,8392420655401,False,contraception-sexual-pleasure,"[{'id': 45447600242985, 'price': 1884000, 'name': 'Durex Play Tingling 100 ml', 'public_title': None, 'sku': 'mega1802'}]",Durex
gid://shopify/Product/8392418197801,trojan-sensation-3-condoms,8392418197801,False,contraception-sexual-pleasure,"[{'id': 45447594967337, 'price': 432000, 'name': 'Trojan Sensation 3 Condoms', 'public_title': None, 'sku': 'medp8904'}]",Trojan
gid://shopify/Product/8392417083689,fiesta-chocolate-3-condoms,8392417083689,False,contraception-sexual-pleasure,"[{'id': 45447590969641, 'price': 85000, 'name': 'Fiesta Chocolate 3 Condoms', 'public_title': None, 'sku': 'mega1743'}]",Fiesta
gid://shopify/Product/8392416428329,trojan-magnum-xl-12-condoms,8392416428329,False,contraception-sexual-pleasure,"[{'id': 45447589036329, 'price': 4450000, 'name': 'Trojan Magnum XL 12 Condoms', 'public_title': None, 'sku': 'medp8901'}]",Trojan
gid://shopify/Product/8392415707433,trojan-ultra-thin-3-condoms,8392415707433,False,contraception-sexual-pleasure,"[{'id': 45447587103017, 'price': 725000, 'name': 'Trojan Ultra Thin 3 Condoms', 'public_title': None, 'sku': 'drhf568'}]",Trojan
gid://shopify/Product/8392414527785,fiesta-wet-wild-3-condoms,8392414527785,False,contraception-sexual-pleasure,"[{'id': 45447585693993, 'price': 100000, 'name': 'Fiesta Wet & Wild 3 Condoms', 'public_title': None, 'sku': 'mega1754'}]",Fiesta
gid://shopify/Product/8392414363945,durex-pleasure-me-6-condoms,8392414363945,False,contraception-sexual-pleasure,"[{'id': 45447585464617, 'price': 1080000, 'name': 'Durex Pleasure Me 6 Condoms', 'public_title': None, 'sku': 'mega1753'}]",Durex
gid://shopify/Product/8392414101801,durex-pleasure-me-3-condoms,8392414101801,False,contraception-sexual-pleasure,"[{'id': 45447585005865, 'price': 460000, 'name': 'Durex Pleasure Me 3 Condoms', 'public_title': None, 'sku': 'mega1752'}]",Durex
gid://shopify/Product/8392413315369,trojan-fire-ice-3-condoms,8392413315369,False,contraception-sexual-pleasure,"[{'id': 45447583105321, 'price': 790000, 'name': 'Trojan Fire & Ice 3 Condoms', 'public_title': None, 'sku': 'medp8899'}]",Trojan
gid://shopify/Product/8392413184297,trojan-enz-12-latex-condoms,8392413184297,False,contraception-sexual-pleasure,"[{'id': 45447582908713, 'price': 972000, 'name': 'Trojan ENZ 12 Latex Condoms', 'public_title': None, 'sku': 'medp8898'}]",Trojan
gid://shopify/Product/8392411873577,masculan-lubricant-gel-50-ml,8392411873577,False,contraception-sexual-pleasure,"[{'id': 45447581270313, 'price': 660000, 'name': 'Masculan Lubricant Gel 50 ml', 'public_title': None, 'sku': 'medp3006'}]",Masculan
gid://shopify/Product/8392411414825,trojan-ultra-thin-36-condoms,8392411414825,False,contraception-sexual-pleasure,"[{'id': 45447580647721, 'price': 2580000, 'name': 'Trojan Ultra Thin 36 Condoms', 'public_title': None, 'sku': 'mega1781'}]",Trojan
gid://shopify/Product/8392410923305,lifestyles-fantasy-3-condoms,8392410923305,False,contraception-sexual-pleasure,"[{'id': 45447579894057, 'price': 72000, 'name': 'Lifestyles Fantasy 3 Condoms', 'public_title': None, 'sku': 'mega1731'}]",LifeStyles
gid://shopify/Product/8392410726697,spanish-fly-2-soluble-tablets,8392410726697,False,contraception-sexual-pleasure,"[{'id': 45447579533609, 'price': 990000, 'name': 'Spanish Fly 2 Soluble Tablets', 'public_title': None, 'sku': 'drrd99'}]",Spanish Fly
gid://shopify/Product/8392409940265,rough-rider-studded-3-condoms,8392409940265,False,contraception-sexual-pleasure,"[{'id': 45447578648873, 'price': 480000, 'name': 'Rough Rider Studded 3 Condoms', 'public_title': None, 'sku': 'drhf556'}]",Rough Rider
